series_id,year,period,value,data_type,region,item,date
CUUR0000SA0L1E,1996,M11,167.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-11-01
CUUR0000SA0L1E,1996,M10,167.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-10-01
CUUR0000SA0L1E,1996,M09,166.4,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-09-01
CUUR0000SA0L1E,1996,M08,165.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-08-01
CUUR0000SA0L1E,1996,M07,165.5,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-07-01
CUUR0000SA0L1E,1996,M06,165.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-06-01
CUUR0000SA0L1E,1996,M05,165.1,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-05-01
CUUR0000SA0L1E,1996,M04,165.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-04-01
CUUR0000SA0L1E,1996,M03,164.9,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-03-01
CUUR0000SA0L1E,1996,M02,164.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-02-01
CUUR0000SA0L1E,1996,M01,163.4,CPI (Unadjusted),National,Core CPI (excludes food & energy),1996-01-01
CUUR0000SA0L1E,1995,M12,162.7,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-12-01
CUUR0000SA0L1E,1995,M11,163.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-11-01
CUUR0000SA0L1E,1995,M10,162.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-10-01
CUUR0000SA0L1E,1995,M09,162.1,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-09-01
CUUR0000SA0L1E,1995,M08,161.6,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-08-01
CUUR0000SA0L1E,1995,M07,161.1,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-07-01
CUUR0000SA0L1E,1995,M06,160.9,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-06-01
CUUR0000SA0L1E,1995,M05,160.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-05-01
CUUR0000SA0L1E,1995,M04,160.7,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-04-01
CUUR0000SA0L1E,1995,M03,160.4,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-03-01
CUUR0000SA0L1E,1995,M02,159.6,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-02-01
CUUR0000SA0L1E,1995,M01,158.7,CPI (Unadjusted),National,Core CPI (excludes food & energy),1995-01-01
CUUR0000SA0L1E,1994,M12,157.9,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-12-01
CUUR0000SA0L1E,1994,M11,158.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-11-01
CUUR0000SA0L1E,1994,M10,158.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-10-01
CUUR0000SA0L1E,1994,M09,157.5,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-09-01
CUUR0000SA0L1E,1994,M08,157.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-08-01
CUUR0000SA0L1E,1994,M07,156.4,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-07-01
CUUR0000SA0L1E,1994,M06,156.2,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-06-01
CUUR0000SA0L1E,1994,M05,156.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-05-01
CUUR0000SA0L1E,1994,M04,155.9,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-04-01
CUUR0000SA0L1E,1994,M03,155.8,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-03-01
CUUR0000SA0L1E,1994,M02,155.0,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-02-01
CUUR0000SA0L1E,1994,M01,154.3,CPI (Unadjusted),National,Core CPI (excludes food & energy),1994-01-01
CUUR0000SA0L1E,1993,M12,153.9,CPI (Unadjusted),National,Core CPI (excludes food & energy),1993-12-01
CUUR0000SA0L1E,1993,M11,153.9,CPI (Unadjusted),National,Core CPI (excludes food & energy),1993-11-01
